candidate_profile,job_description,fit_score
"Python developer with ML experience","Looking for ML engineer skilled in Python",90
"Fresher with basic coding","Senior data scientist with 5 years experience",30
"Python, machine learning, pandas, numpy","Hiring Python ML Engineer for AI model development",88
"Java, Spring Boot, REST APIs, MySQL","Backend Java Developer needed for building REST microservices",92
"React, JavaScript, HTML, CSS","Looking for React Developer to build modern UI",85
"AWS, Docker, Kubernetes, CI/CD","Hiring DevOps Engineer for Cloud Infrastructure automation",93
"Excel, SQL, Tableau","Business seeking Data Analyst for dashboard creation",78
"Django, Flask, PostgreSQL","Python Backend Developer for web API development",84
"Sales, lead generation, communication","Business Development Executive for IT sales",71
"Recruitment, sourcing, interviewing","Hiring HR Recruiter for technical roles",81
"C++, embedded systems, microcontrollers","Embedded Software Engineer needed for IoT firmware",89
"Kotlin, Android Studio, Firebase","Android Developer for mobile e-commerce application",83
"TensorFlow, PyTorch, deep learning","Research Engineer for AI model training",92
"Linux, networking, scripting","System Administrator with Linux server experience",76
"Photoshop, Illustrator, UI design","UI/UX Designer needed for mobile designs",80
"Node.js, Express, MongoDB","Full Stack JavaScript developer for web apps",87
"SQL, statistics, A/B testing","Hiring Data Scientist for product analytics",90
"Customer support, CRM tools","Customer Support Associate for software product",66
"Network security, firewalls, SIEM","Cybersecurity Analyst needed for threat monitoring",89
"Power BI, Excel, data visualization","Business Intelligence Analyst needed",81
"Golang, distributed systems","Go Backend Engineer needed",87
"Rust, low-level programming","Systems Engineer with Rust expertise",91
"Swift, Xcode, UIKit","iOS Developer for mobile app development",84
"Figma, prototyping, wireframes","Hiring Product Designer for UX research",77
"Agile, project tracking, Jira","Project Manager needed for sprint planning",82
"Finance, accounting, GST","Looking for Accountant for invoice management",65
"Supply chain management, logistics","Hiring Logistics Coordinator",73
"Teaching, lesson planning","School seeking High School Teacher",69
"Cooking, food preparation","Restaurant hiring Chef for Indian cuisine",74
"Driving, navigation","Driver needed for cab service",63
"Plumbing, drainage repair","Hiring Plumber for residential maintenance",68
